audienceId,id,name
473490,368648,Test
473490,316444,Streamly (Batch) Previously On Site
473490,312763,JD 2023-11-22 09:35
473490,312296,JD RT 2023-11-21 18:22
473490,312295,JD RT 2022-11-21 18:19
473490,312242,JD RT 2023-11-21
473490,311911,JD Profiles API batch test
473490,305795,JD 60 days
473490,305793,JD 30 days
473490,305791,JD: Streamly New to Site (60 days) (Copy)
473490,305790,JD: Streamly New to Site (30 days) (Copy)
473490,305362,JD: Streamly New to Site (60 days)
473490,305361,JD: Streamly New to Site (30 days)
473490,300674,Streamly New to Site - Last 30 Days
473490,300673,Streamly New to Site - Last 24 hours
473490,299958,TRAINING_MarketAudience_RealTimeExample_SegmentLibrary_SO_20231108
473490,297816,Real Time Sucks Eggs
473490,266861,Streamly New to Site
473490,247444,testing again
473490,246695,SYSTEM (RT) Visited in the Past
473490,246500,SYSTEM (RT) Visited within 24 Hours
473490,243755,Streamly (RT) On Site
473490,243753,SYSTEM (RT) Visited Reg Page
473490,242854,SO_Test
473490,235671,SYSTEM Affinity Interest Business
473490,235661,NonRT Test
473490,235653,RT -Test
473490,235641,SYSTEM viewed leadership
473490,235336,Streamly_RT Segment
469180,393914,informa staff
469180,378920,CPHIK24_onlyCPHI
469180,372622,Testing_Prospect
469180,357316,2024_08_CPHIK_EP
469180,350879,2024_08_CPHIK_EP_en
469180,348711,CPHIK24_exhibitor
469180,339589,DataSource Segmentation
469180,301651,1st Campaign_CPHIK_Sales+Visitor
469180,300589,DS_DEMO3_VIP_Jin
469180,299660,test4
469180,299659,Amillia
469180,299658,Hemy_E
469180,299657,test 3
469180,299654,test number 3
469180,299652,Hemy_D
469180,299651,teset 2
469180,299645,test segment
469180,299633,sub1
469180,299627,Demo Segment
469180,297394,Salesforce_DEMO6: Call for Sales (Vis & Exh)
469180,297393,Salesforce_DEMO5: Invite to Rebook
469180,297392,Salesforce_DEMO4: Invite to Exhibit
469180,297391,Salesforce_DEMO3: Closed Won Opportunity
469180,297390,DS_DEMO3_VIP
469180,297388,DS_DEMO2_Business Profile
469180,297385,DS_DEMO1_Country + Event Behaviour
469180,295396,Email Activity - Bounceback
469180,295342,CPHIK_Registration_Overseas
469180,295338,CPHIK_Registration_Asia
469180,295284,CPHIK_Registration_Korea
469180,286561,Testing_Local Company
469180,265146,Testing_Q&A
469180,265132,Email Unsub
469180,265131,Email Activity - Sent
469180,248101,Testing_YW
469180,245133,Test_GN_Special lang
469180,233935,20230830_test
469180,229405,Salesforce_DEMO2: Find Potential Exh by Spending
469180,229404,Salesforce_DEMO1: Find Potential Exh by Sqm
469180,229399,Irrelevant List
469180,229398,Informa Staff
469180,229397,Visitor Prospect
469180,229396,Sanction Countries
469180,229395,Dummy Email
469180,229394,Activation-Sample (Do Not Remove)
464141,382889,Email Activity - Bounceback
464141,369609,2023 reg list
464141,366287,240122_VP_RACE
464141,366269,RACE_websubmission_VP
464141,366261,RACE_websubmission_EP
464141,357313,Testing
464141,357304,20240112_RACE2023reglist
464141,326073,race2221showup_not23
464141,326072,RACE23showup
464141,297688,Testing_061123
464141,294073,RACE_EP_salesforce
464141,292943,231101_VP_RACE
464141,278236,Dummy Email
464141,278234,Activation-Sample (Do Not Remove)
464141,274788,Test_GN_Aud Pref
464141,265140,Email Unsub
464141,265139,Email Activity - Sent
464141,222685,AW_20230818
464140,382892,Email Activity - Bounceback
464140,375583,B4A_VP_expanded
464140,374565,B4A_EP_expanded
464140,369599,2023_reg list
464140,366318,B4A_VP_240122
464140,366191,website submission_VP
464140,361618,website submission_EP
464140,357312,Testing
464140,357303,2023 reg list
464140,357302,B4A_EP_salesforce _securitex
464140,326043,2023attended
464140,326040,231207_23noshowsurvey
464140,291979,Testing
464140,291810,Testing
464140,287560,B4A_EP_salesforce
464140,278235,Dummy Email
464140,278232,Activation-Sample (Do Not Remove)
464140,278190,B4A_VP_231016
464140,274791,Test_GN_Aud Pref
464140,265134,Email Unsub
464140,265133,Email Activity - Sent
464140,222686,Amy20230818
454421,226414,test
454421,225839,Known Users - Connection Request
454421,225827,Known Users - Leads
454421,225823,Known Users - Opportunity
454421,225813,Known Users - Intent
454421,225803,Known Users - Search History
454421,225788,Known Users - Product Purchase
454421,225764,Known Users - Favorite Sender
454421,225744,Known Users - Favorite Receiver
454421,225733,Known Users - Audience Preference
454421,225706,Known Users - Enriched Company
454421,225702,Known Users - Meeting Invite
454421,225626,Known Users - 1st party Consent
454421,225621,Known Users - Sessions
454421,225619,Known Users - Badge Scan
454421,225616,Known Users - Aggregated Email Clicks
454421,225615,Known Users - Aggregated Email Sends
454421,225613,Known Users - Aggregated Email Opens
454421,225612,Known Users - Transaction
454421,225605,Known Users - Registration
454421,225603,Known Users - Content Download
454421,225593,Unknown Users - Content View
454421,225591,Known Users - Content View
454421,225583,All Users - Content View
351436,372660,01 - APLF 3 IN 1 - VP V4
351436,368383,01 - APLF PBC - Wishlist Invitation
351436,353357,Testing_080124
351436,353301,01 - APLF LEATHER & M+- VP V3
351436,349955,01 - APLF M+ / LEATHER - 2024 Confirmed Exhr
351436,349952,01 - APLF FAS - 2024 Confirmed Exhr
